attempt,expert_prediction,prediction,score,shorttext
0,mathematics,mathematics,,variational calculus
0,mathematics,mathematics,,functional field
0,mathematics,mathematics,,statistical optimization
0,physics,mathematics,,quantum mechanics
0,physics,mathematics,,atomic molecular and optical physics
0,physics,mathematics,,particle physics
0,theology,mathematics,,Christology
0,theology,mathematics,,creedal confessionalism
0,theology,mathematics,,divine degree
1,mathematics,mathematics,,variational calculus
1,mathematics,mathematics,,functional field
1,mathematics,mathematics,,statistical optimization
1,physics,mathematics,,quantum mechanics
1,physics,mathematics,,atomic molecular and optical physics
1,physics,mathematics,,particle physics
1,theology,mathematics,,Christology
1,theology,mathematics,,creedal confessionalism
1,theology,mathematics,,divine degree
2,mathematics,mathematics,,variational calculus
2,mathematics,mathematics,,functional field
2,mathematics,mathematics,,statistical optimization
2,physics,mathematics,,quantum mechanics
2,physics,mathematics,,atomic molecular and optical physics
2,physics,mathematics,,particle physics
2,theology,mathematics,,Christology
2,theology,mathematics,,creedal confessionalism
2,theology,mathematics,,divine degree
3,mathematics,mathematics,,statistics
3,mathematics,mathematics,,differential geometry
3,mathematics,mathematics,,algebra
3,physics,mathematics,,quantum chaos
3,physics,mathematics,,topological solitons
3,physics,mathematics,,spontaneous symmetry breaking
3,theology,mathematics,,eschatology
3,theology,mathematics,,divine providence
3,theology,mathematics,,scripture
4,mathematics,mathematics,,statistics
4,mathematics,mathematics,,differential geometry
4,mathematics,mathematics,,algebra
4,physics,mathematics,,quantum chaos
4,physics,mathematics,,topological solitons
4,physics,mathematics,,spontaneous symmetry breaking
4,theology,mathematics,,eschatology
4,theology,mathematics,,divine providence
4,theology,mathematics,,scripture
5,mathematics,mathematics,,statistics
5,mathematics,mathematics,,differential geometry
5,mathematics,mathematics,,algebra
5,physics,mathematics,,quantum chaos
5,physics,mathematics,,topological solitons
5,physics,mathematics,,spontaneous symmetry breaking
5,theology,mathematics,,eschatology
5,theology,mathematics,,divine providence
5,theology,mathematics,,scripture
6,mathematics,mathematics,0.969371920392,numerical analysis
6,mathematics,mathematics,0.901429156548,differential equation
6,mathematics,mathematics,0.941689801511,stochastic calculus
6,physics,theology,0.790357568473,classical mechanics
6,physics,physics,0.625312900669,path integral
6,physics,physics,0.875933089916,quantum field theory
6,theology,physics,0.954542048306,anthropology
6,theology,mathematics,,pneumatology
6,theology,mathematics,0.567086475332,Holy Trinity
7,mathematics,physics,0.892597948792,numerical analysis
7,mathematics,physics,0.858433515374,differential equation
7,mathematics,theology,0.83415630912,stochastic calculus
7,physics,physics,0.885683226665,classical mechanics
7,physics,physics,0.833659033045,path integral
7,physics,physics,0.954748834723,quantum field theory
7,theology,mathematics,0.717900517409,anthropology
7,theology,mathematics,,pneumatology
7,theology,theology,0.613913813714,Holy Trinity
8,mathematics,mathematics,0.914455724914,numerical analysis
8,mathematics,physics,0.906933661323,differential equation
8,mathematics,mathematics,0.856420765858,stochastic calculus
8,physics,mathematics,0.690963833441,classical mechanics
8,physics,physics,0.519316984677,path integral
8,physics,physics,0.848562577727,quantum field theory
8,theology,physics,0.796013212469,anthropology
8,theology,mathematics,,pneumatology
8,theology,physics,0.367286686882,Holy Trinity
9,mathematics,mathematics,,probability
9,mathematics,mathematics,,calculus
9,mathematics,mathematics,,linear algebra
9,physics,mathematics,,statistical mechanics
9,physics,mathematics,,astrophysics
9,physics,mathematics,,functional field
9,theology,mathematics,,eucharist
9,theology,mathematics,,prayer
9,theology,mathematics,,ecclesiology
10,mathematics,mathematics,,probability
10,mathematics,mathematics,,calculus
10,mathematics,mathematics,,linear algebra
10,physics,mathematics,,statistical mechanics
10,physics,mathematics,,astrophysics
10,physics,mathematics,,functional field
10,theology,mathematics,,eucharist
10,theology,mathematics,,prayer
10,theology,mathematics,,ecclesiology
11,mathematics,mathematics,,probability
11,mathematics,mathematics,,calculus
11,mathematics,mathematics,,linear algebra
11,physics,mathematics,,statistical mechanics
11,physics,mathematics,,astrophysics
11,physics,mathematics,,functional field
11,theology,mathematics,,eucharist
11,theology,mathematics,,prayer
11,theology,mathematics,,ecclesiology
12,mathematics,mathematics,,complex analysis
12,mathematics,mathematics,,topology
12,mathematics,mathematics,,real analysis
12,physics,mathematics,,condensed matter
12,physics,mathematics,,renormalization
12,physics,mathematics,,electrodynamics
12,theology,mathematics,,soteriology
12,theology,mathematics,,predestination
12,theology,mathematics,,scholasticism
13,mathematics,mathematics,,complex analysis
13,mathematics,mathematics,,topology
13,mathematics,mathematics,,real analysis
13,physics,mathematics,,condensed matter
13,physics,mathematics,,renormalization
13,physics,mathematics,,electrodynamics
13,theology,mathematics,,soteriology
13,theology,mathematics,,predestination
13,theology,mathematics,,scholasticism
14,mathematics,mathematics,,complex analysis
14,mathematics,mathematics,,topology
14,mathematics,mathematics,,real analysis
14,physics,mathematics,,condensed matter
14,physics,mathematics,,renormalization
14,physics,mathematics,,electrodynamics
14,theology,mathematics,,soteriology
14,theology,mathematics,,predestination
14,theology,mathematics,,scholasticism
15,mathematics,mathematics,,variational calculus
15,mathematics,mathematics,,calculus
15,mathematics,mathematics,,real analysis
15,physics,mathematics,,path integral
15,physics,mathematics,,atomic molecular and optical physics
15,physics,mathematics,,condensed matter
15,theology,mathematics,,eschatology
15,theology,mathematics,,prayer
15,theology,mathematics,,anthropology
16,mathematics,mathematics,,variational calculus
16,mathematics,mathematics,,calculus
16,mathematics,mathematics,,real analysis
16,physics,mathematics,,path integral
16,physics,mathematics,,atomic molecular and optical physics
16,physics,mathematics,,condensed matter
16,theology,mathematics,,eschatology
16,theology,mathematics,,prayer
16,theology,mathematics,,anthropology
17,mathematics,mathematics,,variational calculus
17,mathematics,mathematics,,calculus
17,mathematics,mathematics,,real analysis
17,physics,mathematics,,path integral
