accuracy,attempt
1.0,0
0.888888888889,1
1.0,2
0.888888888889,3
1.0,4
0.888888888889,5
1.0,6
1.0,7
0.777777777778,8
0.888888888889,9
0.777777777778,10
0.777777777778,11
0.888888888889,12
0.888888888889,13
0.888888888889,14
0.666666666667,15
0.555555555556,16
0.666666666667,17
1.0,18
1.0,19
1.0,20
0.666666666667,21
0.777777777778,22
0.777777777778,23
1.0,24
1.0,25
1.0,26
0.888888888889,27
0.888888888889,28
0.888888888889,29
0.888888888889,30
0.888888888889,31
0.888888888889,32
0.888888888889,33
0.777777777778,34
0.777777777778,35
0.666666666667,36
0.666666666667,37
0.666666666667,38
1.0,39
1.0,40
1.0,41
0.888888888889,42
0.888888888889,43
0.777777777778,44
0.888888888889,45
0.888888888889,46
0.888888888889,47
1.0,48
1.0,49
1.0,50
0.888888888889,51
0.888888888889,52
0.888888888889,53
0.666666666667,54
0.777777777778,55
0.666666666667,56
1.0,57
1.0,58
0.888888888889,59
0.777777777778,60
0.888888888889,61
0.777777777778,62
0.777777777778,63
0.777777777778,64
0.777777777778,65
0.888888888889,66
0.888888888889,67
0.888888888889,68
0.888888888889,69
0.888888888889,70
0.777777777778,71
1.0,72
0.888888888889,73
0.888888888889,74
1.0,75
1.0,76
1.0,77
0.666666666667,78
0.777777777778,79
0.777777777778,80
0.888888888889,81
0.777777777778,82
0.777777777778,83
0.777777777778,84
0.777777777778,85
0.777777777778,86
1.0,87
0.888888888889,88
0.888888888889,89
