attempt,expert_prediction,prediction,score,shorttext
0,mathematics,mathematics,0.600923597813,differential geometry
0,mathematics,mathematics,0.56033295393,probability
0,mathematics,mathematics,0.921330273151,linear algebra
0,physics,physics,0.782823085785,quantum chaos
0,physics,physics,0.912052154541,classical mechanics
0,physics,physics,0.757155239582,topological solitons
0,theology,theology,0.878703832626,prayer
0,theology,theology,0.895572543144,scholasticism
0,theology,theology,0.831583738327,creedal confessionalism
1,mathematics,physics,0.616901397705,differential geometry
1,mathematics,mathematics,0.451879709959,probability
1,mathematics,mathematics,0.841671586037,linear algebra
1,physics,physics,0.853547036648,quantum chaos
1,physics,physics,0.96059602499,classical mechanics
1,physics,physics,0.88499879837,topological solitons
1,theology,theology,0.882562100887,prayer
1,theology,theology,0.889537870884,scholasticism
1,theology,theology,0.792922317982,creedal confessionalism
2,mathematics,mathematics,0.524856686592,differential geometry
2,mathematics,mathematics,0.527578294277,probability
2,mathematics,mathematics,0.878767967224,linear algebra
2,physics,physics,0.745267689228,quantum chaos
2,physics,physics,0.916278541088,classical mechanics
2,physics,physics,0.791139543056,topological solitons
2,theology,theology,0.881982088089,prayer
2,theology,theology,0.895903587341,scholasticism
2,theology,theology,0.809600889683,creedal confessionalism
3,mathematics,mathematics,0.557807028294,statistics
3,mathematics,mathematics,0.956622779369,stochastic calculus
3,mathematics,mathematics,0.599862992764,algebra
3,physics,physics,0.74056237936,atomic molecular and optical physics
3,physics,physics,0.813256323338,particle physics
3,physics,mathematics,0.478179961443,renormalization
3,theology,theology,0.8937022686,eucharist
3,theology,theology,0.906004726887,ecclesiology
3,theology,theology,0.933131933212,soteriology
4,mathematics,mathematics,0.492970645428,statistics
4,mathematics,mathematics,0.963984668255,stochastic calculus
4,mathematics,mathematics,0.566086292267,algebra
4,physics,physics,0.891595423222,atomic molecular and optical physics
4,physics,physics,0.898223638535,particle physics
4,physics,physics,0.52780765295,renormalization
4,theology,theology,0.915941238403,eucharist
4,theology,theology,0.926569998264,ecclesiology
4,theology,theology,0.948521733284,soteriology
