accuracy,attempt
0.888888888889,0
0.888888888889,1
0.888888888889,2
0.666666666667,3
0.666666666667,4
0.666666666667,5
1.0,6
1.0,7
1.0,8
0.555555555556,9
0.555555555556,10
0.555555555556,11
0.888888888889,12
0.888888888889,13
0.888888888889,14
0.777777777778,15
0.777777777778,16
0.777777777778,17
0.777777777778,18
0.777777777778,19
0.777777777778,20
0.777777777778,21
0.777777777778,22
0.777777777778,23
0.777777777778,24
0.777777777778,25
0.777777777778,26
1.0,27
1.0,28
1.0,29
1.0,30
1.0,31
1.0,32
1.0,33
1.0,34
1.0,35
0.888888888889,36
0.888888888889,37
0.888888888889,38
0.777777777778,39
0.777777777778,40
0.777777777778,41
0.888888888889,42
0.888888888889,43
0.888888888889,44
0.777777777778,45
0.777777777778,46
0.777777777778,47
1.0,48
1.0,49
1.0,50
0.777777777778,51
0.777777777778,52
0.777777777778,53
0.777777777778,54
0.777777777778,55
0.777777777778,56
0.888888888889,57
0.888888888889,58
0.888888888889,59
1.0,60
1.0,61
1.0,62
0.777777777778,63
0.777777777778,64
0.777777777778,65
1.0,66
1.0,67
1.0,68
0.888888888889,69
0.888888888889,70
0.888888888889,71
0.777777777778,72
0.777777777778,73
0.777777777778,74
0.777777777778,75
0.777777777778,76
0.777777777778,77
0.888888888889,78
0.888888888889,79
0.888888888889,80
0.666666666667,81
0.666666666667,82
0.666666666667,83
1.0,84
1.0,85
1.0,86
0.888888888889,87
0.888888888889,88
0.888888888889,89
