attempt,expert_prediction,prediction,score,shorttext
0,mathematics,mathematics,0.523005369201,differential equation
0,mathematics,mathematics,0.284071257271,statistics
0,mathematics,mathematics,0.643881409625,linear algebra
0,physics,physics,0.462908531445,astrophysics
0,physics,physics,0.676464870614,particle physics
0,physics,physics,0.462505737723,spontaneous symmetry breaking
0,theology,mathematics,,pneumatology
0,theology,theology,0.749246048724,Christology
0,theology,theology,0.679763230797,creedal confessionalism
1,mathematics,mathematics,0.523005369201,differential equation
1,mathematics,mathematics,0.284071257271,statistics
1,mathematics,mathematics,0.643881409625,linear algebra
1,physics,physics,0.462908531445,astrophysics
1,physics,physics,0.676464870614,particle physics
1,physics,physics,0.462505737723,spontaneous symmetry breaking
1,theology,mathematics,,pneumatology
1,theology,theology,0.749246048724,Christology
1,theology,theology,0.679763230797,creedal confessionalism
2,mathematics,mathematics,0.523005369201,differential equation
2,mathematics,mathematics,0.284071257271,statistics
2,mathematics,mathematics,0.643881409625,linear algebra
2,physics,physics,0.462908531445,astrophysics
2,physics,physics,0.676464870614,particle physics
2,physics,physics,0.462505737723,spontaneous symmetry breaking
2,theology,mathematics,,pneumatology
2,theology,theology,0.749246048724,Christology
2,theology,theology,0.679763230797,creedal confessionalism
3,mathematics,mathematics,0.757993322233,variational calculus
3,mathematics,mathematics,0.662027466687,numerical analysis
3,mathematics,physics,0.497718239521,functional field
3,physics,physics,0.686116090124,electrodynamics
3,physics,mathematics,0.569907745816,statistical mechanics
3,physics,physics,0.34733895311,condensed matter
3,theology,physics,0.358880939939,anthropology
3,theology,theology,0.605688315514,divine providence
3,theology,theology,0.693110174041,scripture
4,mathematics,mathematics,0.757993322233,variational calculus
4,mathematics,mathematics,0.662027466687,numerical analysis
4,mathematics,physics,0.497718239521,functional field
4,physics,physics,0.686116090124,electrodynamics
4,physics,mathematics,0.569907745816,statistical mechanics
4,physics,physics,0.34733895311,condensed matter
4,theology,physics,0.358880939939,anthropology
4,theology,theology,0.605688315514,divine providence
4,theology,theology,0.693110174041,scripture
5,mathematics,mathematics,0.757993322233,variational calculus
5,mathematics,mathematics,0.662027466687,numerical analysis
5,mathematics,physics,0.497718239521,functional field
5,physics,physics,0.686116090124,electrodynamics
5,physics,mathematics,0.569907745816,statistical mechanics
5,physics,physics,0.34733895311,condensed matter
5,theology,physics,0.358880939939,anthropology
5,theology,theology,0.605688315514,divine providence
5,theology,theology,0.693110174041,scripture
6,mathematics,mathematics,0.555544970354,real analysis
6,mathematics,mathematics,0.532489202095,calculus
6,mathematics,mathematics,0.649586720356,stochastic calculus
6,physics,physics,0.726171862572,quantum field theory
6,physics,physics,0.722764333172,atomic molecular and optical physics
6,physics,physics,0.569536551097,classical mechanics
6,theology,theology,0.604874632776,eucharist
6,theology,theology,0.635266739292,scholasticism
6,theology,theology,0.538912400064,divine degree
7,mathematics,mathematics,0.555544970354,real analysis
7,mathematics,mathematics,0.532489202095,calculus
7,mathematics,mathematics,0.649586720356,stochastic calculus
7,physics,physics,0.726171862572,quantum field theory
7,physics,physics,0.722764333172,atomic molecular and optical physics
7,physics,physics,0.569536551097,classical mechanics
7,theology,theology,0.604874632776,eucharist
7,theology,theology,0.635266739292,scholasticism
7,theology,theology,0.538912400064,divine degree
8,mathematics,mathematics,0.555544970354,real analysis
8,mathematics,mathematics,0.532489202095,calculus
8,mathematics,mathematics,0.649586720356,stochastic calculus
8,physics,physics,0.726171862572,quantum field theory
8,physics,physics,0.722764333172,atomic molecular and optical physics
8,physics,physics,0.569536551097,classical mechanics
8,theology,theology,0.604874632776,eucharist
8,theology,theology,0.635266739292,scholasticism
